degrau,rps_alvo,p95_ms,taxa_erro
0,200,24.9,0.0000
1,400,24.5,0.0000
2,600,25.9,0.0000
3,800,31.6,0.0000
4,1000,59.9,0.0000
5,1200,110.1,0.0000
6,1400,462.4,0.0000
7,1600,1934.8,0.0000
8,1800,3907.0,0.0007
9,2000,4041.6,0.0000
